child,parent_1,parent_2,parent_3
GEN=53_MEMBER=66_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=43_MEMBER=1266_DE,GEN=14_MEMBER=403_DE
GEN=53_MEMBER=67_DE,GEN=50_MEMBER=1475_DE,GEN=17_MEMBER=502_DE,GEN=33_MEMBER=966_DE,GEN=52_MEMBER=59_DE
GEN=53_MEMBER=68_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=20_MEMBER=588_DE,GEN=51_MEMBER=24_DE
GEN=53_MEMBER=69_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=49_MEMBER=1445_DE,GEN=39_MEMBER=1165_DE
GEN=53_MEMBER=70_DE,GEN=30_MEMBER=870_DE,GEN=43_MEMBER=1266_DE,GEN=14_MEMBER=403_DE,GEN=39_MEMBER=1165_DE
GEN=53_MEMBER=71_DE,GEN=50_MEMBER=1475_DE,GEN=42_MEMBER=1237_DE,GEN=39_MEMBER=1165_DE,GEN=52_MEMBER=30_DE
GEN=53_MEMBER=72_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=42_MEMBER=1237_DE,GEN=52_MEMBER=45_DE
GEN=53_MEMBER=73_DE,GEN=45_MEMBER=1330_DE,GEN=52_MEMBER=30_DE,GEN=51_MEMBER=13_DE,GEN=52_MEMBER=34_DE
GEN=53_MEMBER=74_DE,GEN=6_MEMBER=158_DE,GEN=20_MEMBER=588_DE,GEN=33_MEMBER=966_DE,GEN=52_MEMBER=30_DE
GEN=53_MEMBER=75_DE,GEN=30_MEMBER=870_DE,GEN=6_MEMBER=158_DE,GEN=50_MEMBER=1480_DE,GEN=39_MEMBER=1165_DE
GEN=53_MEMBER=76_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=45_MEMBER=1330_DE,GEN=52_MEMBER=40_DE
GEN=53_MEMBER=77_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=17_MEMBER=502_DE,GEN=26_MEMBER=762_DE
GEN=53_MEMBER=78_DE,GEN=43_MEMBER=1266_DE,GEN=6_MEMBER=158_DE,GEN=50_MEMBER=1480_DE,GEN=52_MEMBER=31_DE
GEN=53_MEMBER=79_DE,GEN=40_MEMBER=1186_DE,GEN=47_MEMBER=1388_DE,GEN=45_MEMBER=1330_DE,GEN=52_MEMBER=30_DE
GEN=53_MEMBER=80_DE,GEN=40_MEMBER=1186_DE,GEN=50_MEMBER=1475_DE,GEN=17_MEMBER=502_DE,GEN=26_MEMBER=762_DE
GEN=53_MEMBER=81_DE,GEN=40_MEMBER=1186_DE,GEN=50_MEMBER=1480_DE,GEN=20_MEMBER=588_DE,GEN=33_MEMBER=966_DE
GEN=53_MEMBER=82_DE,GEN=40_MEMBER=1186_DE,GEN=50_MEMBER=1475_DE,GEN=6_MEMBER=158_DE,GEN=52_MEMBER=40_DE
GEN=53_MEMBER=83_DE,GEN=40_MEMBER=1186_DE,GEN=26_MEMBER=752_DE,GEN=42_MEMBER=1237_DE,GEN=51_MEMBER=13_DE
GEN=53_MEMBER=84_DE,GEN=50_MEMBER=1475_DE,GEN=20_MEMBER=588_DE,GEN=39_MEMBER=1165_DE,GEN=51_MEMBER=6_DE
GEN=53_MEMBER=85_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=20_MEMBER=588_DE
GEN=53_MEMBER=86_DE,GEN=26_MEMBER=752_DE,GEN=6_MEMBER=158_DE,GEN=50_MEMBER=1480_DE,GEN=39_MEMBER=1165_DE
GEN=53_MEMBER=87_DE,GEN=26_MEMBER=752_DE,GEN=50_MEMBER=1480_DE,GEN=52_MEMBER=45_DE,GEN=52_MEMBER=59_DE
GEN=53_MEMBER=88_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE,GEN=49_MEMBER=1445_DE,GEN=33_MEMBER=966_DE
GEN=53_MEMBER=89_DE,GEN=30_MEMBER=870_DE,GEN=43_MEMBER=1266_DE,GEN=6_MEMBER=158_DE,GEN=52_MEMBER=34_DE
GEN=54_MEMBER=90_DE,GEN=47_MEMBER=1388_DE,GEN=49_MEMBER=1445_DE,GEN=42_MEMBER=1237_DE,GEN=14_MEMBER=403_DE
GEN=54_MEMBER=91_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE,GEN=53_MEMBER=86_DE,GEN=52_MEMBER=34_DE
GEN=54_MEMBER=92_DE,GEN=26_MEMBER=752_DE,GEN=45_MEMBER=1330_DE,GEN=35_MEMBER=1039_DE,GEN=52_MEMBER=30_DE
GEN=54_MEMBER=93_DE,GEN=42_MEMBER=1237_DE,GEN=14_MEMBER=403_DE,GEN=35_MEMBER=1039_DE,GEN=52_MEMBER=30_DE
GEN=54_MEMBER=94_DE,GEN=6_MEMBER=158_DE,GEN=42_MEMBER=1237_DE,GEN=14_MEMBER=403_DE,GEN=53_MEMBER=86_DE
