generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
28,gen=60_member=276_de,0.321566,351.812,1,0.0725815,0.0313532,0.0313532,1,-999
28,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0293399,0.0293399,1,-999
28,gen=17_member=502_de,0.335487,346.296,1,0.0679957,0.0267308,0.0267308,1,-999
28,gen=35_member=1039_de,0.771482,239.143,1,0.0664818,0.0191744,0.0191744,1,-999
28,gen=26_member=762_de,0.0677648,445.84,1,0.112366,0.0217166,0.0217166,1,-999
28,gen=50_member=1480_de,0.75136,240.604,1,0.0396606,0.0197268,0.0197268,1,-999
28,gen=78_member=823_de,0.0475058,489.887,1,0.117151,2.02172,2.02172,1,-999
30,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.0126046,0.0126046,1,-999
30,gen=40_member=1186_de,0.01,760.559,2,-999,0.00366742,0.00366742,1,-999
30,gen=55_member=143_de,0.0128918,672.121,1,0.434766,0.00542789,0.00542789,1,-999
30,gen=75_member=740_de,0.0154097,532.369,1,0.299808,0.0104711,0.0104711,1,-999
30,gen=43_member=1266_de,0.212021,438.868,1,0.28431,0.0178878,0.0178878,1,-999
30,gen=58_member=228_de,0.485215,309.278,1,0.2515,0.0293399,0.0293399,1,-999
30,gen=26_member=752_de,0.648865,266.745,1,0.217623,0.0344522,0.0344522,1,-999
30,gen=14_member=403_de,0.383804,338.022,1,0.183053,0.0325271,0.0325271,1,-999
30,gen=20_member=588_de,0.076213,442.245,1,0.172969,0.0168687,0.0168687,1,-999
30,gen=77_member=788_de,0.741957,242.985,1,0.155553,0.0206993,0.0206993,1,-999
30,gen=58_member=216_de,0.250524,384.964,1,0.146749,0.0219285,0.0219285,1,-999
30,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0176992,0.0176992,1,-999
30,gen=62_member=336_de,0.611911,289.296,1,0.125908,0.0206993,0.0206993,1,-999
30,gen=47_member=1388_de,0.546798,293.77,1,0.123682,0.0216209,0.0216209,1,-999
30,gen=58_member=224_de,0.775097,216.933,1,0.111446,0.0193005,0.0193005,1,-999
30,gen=78_member=823_de,0.0475058,489.887,1,0.110673,0.0188609,0.0188609,1,-999
30,gen=49_member=1445_de,0.286408,356.642,1,0.110622,0.0369486,0.0369486,1,-999
30,gen=26_member=762_de,0.0677648,445.84,1,0.105715,0.0159043,0.0159043,1,-999
30,gen=59_member=245_de,0.0329481,492.241,1,0.101571,0.0180592,0.0180592,1,-999
30,gen=45_member=1330_de,0.26417,381.706,1,0.0840074,0.0236155,0.0236155,1,-999
30,gen=69_member=551_de,0.568721,289.96,1,0.0801196,0.0204187,0.0204187,1,-999
30,gen=60_member=276_de,0.321566,351.812,1,0.0711373,0.0313532,0.0313532,1,-999
30,gen=33_member=966_de,0.36641,341.361,1,0.0670888,0.0293399,0.0293399,1,-999
30,gen=17_member=502_de,0.335487,346.296,1,0.0665368,0.0267308,0.0267308,1,-999
30,gen=35_member=1039_de,0.771482,239.143,1,0.0631774,0.0191744,0.0191744,1,-999
30,gen=50_member=1480_de,0.75136,240.604,1,0.0391242,0.0197268,0.0197268,1,-999
30,gen=80_member=897_de,0.01,814.441,1,1e+30,1.00306,1.00306,1,-999
33,gen=80_member=897_de,0.01,814.441,1,1e+30,0.00306229,0.00306229,1,-999
33,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.0126046,0.0126046,1,-999
33,gen=55_member=143_de,0.0128918,672.121,1,0.434766,0.00542789,0.00542789,1,-999
33,gen=75_member=740_de,0.0154097,532.369,1,0.302547,0.010855,0.010855,1,-999
33,gen=43_member=1266_de,0.212021,438.868,1,0.28431,0.0178878,0.0178878,1,-999
33,gen=58_member=228_de,0.485215,309.278,1,0.2515,0.0293399,0.0293399,1,-999
33,gen=26_member=752_de,0.648865,266.745,1,0.217623,0.0344522,0.0344522,1,-999
33,gen=14_member=403_de,0.383804,338.022,1,0.183053,0.0325271,0.0325271,1,-999
33,gen=20_member=588_de,0.076213,442.245,1,0.172969,0.0171869,0.0171869,1,-999
33,gen=77_member=788_de,0.741957,242.985,1,0.155553,0.0206993,0.0206993,1,-999
