generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
17,gen=17_member=500_de,0.0517698,425.746,1,0.421657,0.0152287,0.0152287,1,-999
17,gen=17_member=496_de,0.136349,377.585,1,0.233485,0.0300398,0.0300398,1,-999
17,gen=17_member=502_de,0.335487,346.296,1,0.216754,0.0300398,0.0300398,1,-999
18,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0102687,0.0102687,1,-999
18,gen=14_member=404_de,0.01,588.87,2,-999,0.00468856,0.00468856,1,-999
18,gen=17_member=500_de,0.0517698,425.746,1,0.424479,0.0122774,0.0122774,1,-999
18,gen=12_member=353_de,0.546798,293,1,0.323869,0.0180842,0.0180842,1,-999
18,gen=16_member=454_de,0.235918,362.081,1,0.289228,0.0361007,0.0361007,1,-999
18,gen=15_member=434_de,0.607195,247.265,1,0.282774,0.0179807,0.0179807,1,-999
18,gen=6_member=158_de,0.41868,300.88,1,0.277238,0.0179807,0.0179807,1,-999
18,gen=2_member=51_de,0.784547,179.706,1,0.23534,0.0203339,0.0203339,1,-999
18,gen=17_member=496_de,0.136349,377.585,1,0.233222,0.0240592,0.0240592,1,-999
18,gen=8_member=212_de,0.648865,212.49,1,0.223251,0.0190807,0.0190807,1,-999
18,gen=6_member=171_de,0.731656,207.35,1,0.22099,0.0211555,0.0211555,1,-999
18,gen=17_member=502_de,0.335487,346.296,1,0.216508,0.0229965,0.0229965,1,-999
18,gen=16_member=461_de,0.076213,387.78,1,0.195608,0.0229965,0.0229965,1,-999
18,gen=14_member=403_de,0.383804,338.022,1,0.188321,0.0240592,0.0240592,1,-999
18,gen=12_member=359_de,0.856933,162.082,1,0.185489,0.0191886,0.0191886,1,-999
18,gen=1_member=1_de,0.861951,132.527,1,0.0475827,0.0130169,0.0130169,1,-999
18,gen=18_member=539_de,0.01,591.208,1,1e+30,1.00464,1.00464,1,-999
19,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0143392,0.0143392,1,-999
19,gen=18_member=539_de,0.01,591.208,1,1e+30,0.00463772,0.00463772,1,-999
19,gen=17_member=500_de,0.0517698,425.746,1,0.414661,0.0152287,0.0152287,1,-999
19,gen=12_member=353_de,0.546798,293,1,0.323869,0.0180842,0.0180842,1,-999
19,gen=16_member=454_de,0.235918,362.081,1,0.304735,0.0361007,0.0361007,1,-999
19,gen=15_member=434_de,0.607195,247.265,1,0.282774,0.0179807,0.0179807,1,-999
19,gen=6_member=158_de,0.41868,300.88,1,0.277238,0.0179807,0.0179807,1,-999
19,gen=2_member=51_de,0.784547,179.706,1,0.23534,0.0259902,0.0259902,1,-999
19,gen=17_member=496_de,0.136349,377.585,2,0,0.0300398,0.0300398,1,-999
19,gen=8_member=212_de,0.648865,212.49,1,0.223251,0.0190807,0.0190807,1,-999
19,gen=6_member=171_de,0.731656,207.35,1,0.22099,0.0211555,0.0211555,1,-999
19,gen=17_member=502_de,0.335487,346.296,1,0.216508,0.0229965,0.0229965,1,-999
19,gen=16_member=461_de,0.076213,387.78,2,1e+30,0.0250215,0.0250215,1,-999
19,gen=14_member=403_de,0.383804,338.022,1,0.188321,0.0240592,0.0240592,1,-999
19,gen=12_member=359_de,0.856933,162.082,1,0.189612,0.0211555,0.0211555,1,-999
19,gen=1_member=1_de,0.861951,132.527,2,1e+30,0.0203339,0.0203339,1,-999
19,gen=19_member=551_de,0.150207,392.485,1,0.33993,2.02836,2.02836,1,-999
19,gen=19_member=546_de,0.885477,143.23,1,0.0475827,1.02599,1.02599,1,-999
20,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0143392,0.0143392,1,-999
20,gen=18_member=539_de,0.01,591.208,1,1e+30,0.004982,0.004982,1,-999
20,gen=17_member=500_de,0.0517698,425.746,2,-999,0.0152287,0.0152287,1,-999
20,gen=19_member=551_de,0.150207,392.485,1,0.34687,0.0207515,0.0207515,1,-999
20,gen=12_member=353_de,0.546798,293,1,0.323869,0.0209493,0.0209493,1,-999
20,gen=16_member=454_de,0.235918,362.081,1,0.304735,0.0308596,0.0308596,1,-999
20,gen=15_member=434_de,0.607195,247.265,1,0.282774,0.0209493,0.0209493,1,-999
20,gen=6_member=158_de,0.41868,300.88,1,0.277238,0.02109,0.02109,1,-999
20,gen=2_member=51_de,0.784547,179.706,1,0.23534,0.0287484,0.0287484,1,-999
20,gen=8_member=212_de,0.648865,212.49,1,0.223251,0.0271921,0.0271921,1,-999
20,gen=6_member=171_de,0.731656,207.35,1,0.22099,0.0238577,0.0238577,1,-999
20,gen=17_member=502_de,0.335487,346.296,1,0.216508,0.02109,0.02109,1,-999
20,gen=12_member=359_de,0.856933,162.082,1,0.189612,0.0211555,0.0211555,1,-999
20,gen=14_member=403_de,0.383804,338.022,1,0.188321,0.0255486,0.0255486,1,-999
20,gen=19_member=546_de,0.885477,143.23,1,0.0475827,0.0259902,0.0259902,1,-999
20,gen=20_member=588_de,0.076213,442.245,1,0.414661,1.01217,1.01217,1,-999
22,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0143392,0.0143392,1,-999
22,gen=18_member=539_de,0.01,591.208,1,1e+30,0.004982,0.004982,1,-999
22,gen=20_member=588_de,0.076213,442.245,1,0.268797,0.0121707,0.0121707,1,-999
22,gen=19_member=551_de,0.150207,392.485,1,0.34687,0.01932,0.01932,1,-999
22,gen=12_member=353_de,0.546798,293,1,0.323869,0.0209493,0.0209493,1,-999
22,gen=16_member=454_de,0.235918,362.081,1,0.304735,0.0308596,0.0308596,1,-999
22,gen=15_member=434_de,0.607195,247.265,1,0.282774,0.0209493,0.0209493,1,-999
22,gen=6_member=158_de,0.41868,300.88,1,0.277238,0.02109,0.02109,1,-999
22,gen=2_member=51_de,0.784547,179.706,1,0.23534,0.0287484,0.0287484,1,-999
22,gen=8_member=212_de,0.648865,212.49,1,0.223251,0.0271921,0.0271921,1,-999
22,gen=6_member=171_de,0.731656,207.35,1,0.22099,0.0238577,0.0238577,1,-999
22,gen=17_member=502_de,0.335487,346.296,1,0.216508,0.02109,0.02109,1,-999
22,gen=12_member=359_de,0.856933,162.082,1,0.189612,0.0211555,0.0211555,1,-999
22,gen=14_member=403_de,0.383804,338.022,1,0.188321,0.0255486,0.0255486,1,-999
22,gen=19_member=546_de,0.885477,143.23,1,0.0475827,0.0259902,0.0259902,1,-999
22,gen=22_member=658_de,0.0271512,454.985,1,0.310831,0.0105369,0.0105369,1,-999
23,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0170373,0.0170373,1,-999
23,gen=18_member=539_de,0.01,591.208,1,1e+30,0.00436634,0.00436634,1,-999
23,gen=19_member=551_de,0.150207,392.485,1,0.299014,0.01932,0.01932,1,-999
23,gen=12_member=353_de,0.546798,293,1,0.323869,0.0180842,0.0180842,1,-999
23,gen=22_member=658_de,0.0271512,454.985,1,0.310831,0.0105369,0.0105369,1,-999
23,gen=16_member=454_de,0.235918,362.081,1,0.192762,0.0308596,0.0308596,1,-999
23,gen=15_member=434_de,0.607195,247.265,1,0.282774,0.0209493,0.0209493,1,-999
23,gen=6_member=158_de,0.41868,300.88,1,0.277238,0.0179807,0.0179807,1,-999
23,gen=20_member=588_de,0.076213,442.245,1,0.268797,0.0121707,0.0121707,1,-999
23,gen=2_member=51_de,0.784547,179.706,1,0.143652,0.0337329,0.0337329,1,-999
23,gen=8_member=212_de,0.648865,212.49,1,0.153418,0.0271921,0.0271921,1,-999
23,gen=6_member=171_de,0.731656,207.35,1,0.186995,0.0245768,0.0245768,1,-999
23,gen=17_member=502_de,0.335487,346.296,1,0.216508,0.02109,0.02109,1,-999
23,gen=12_member=359_de,0.856933,162.082,1,0.10194,0.0479582,0.0479582,1,-999
