,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
11,582.0259312141656,488.167967286156,548.605562985428,690.4077899478518,477.5710484121836,524.414898422292,378.8724991978119,505.1603227449456,384.29980166004924,538.0299558789726,396.92415574253454,511.5658255253609,551.5088650969603,462.45177998816564,585.0990726599358,407.4015796360374,692.0860729634143,532.7435664155669,389.5738903085867,475.7030307169483,416.3163309168727,547.254126046797,561.0607711659467,431.23688388446584,383.520210782418,477.3851359043056,569.4211183083253,662.3223426424779,439.9129477836568,468.08252937947765
12,728.4400492362935,446.0942350827203,529.4762398519629,471.65772174545907,544.0444609533937,642.8382250920195,741.007820470822,393.4335144897714,481.7233508231167,518.237221485478,340.2540865304985,571.4117055364434,379.83750875883,452.8285474605086,579.5291442218534,505.903709008268,342.62688994560216,401.6112263335472,684.9386923671156,523.8150135115227,323.1781984877365,517.4095110356984,553.0550838993009,451.8064349702973,434.71226899091084,362.6404043056509,479.7478678597428,412.51293196825605,594.8656857123146,395.4410655746032
13,636.7341293846603,687.6914470920927,539.4453211415026,573.5796912153213,578.6116956346784,391.87143848687265,512.5648524803995,501.93638600725114,490.459047144728,352.2644698191962,563.7538930445461,423.1552329876005,338.4289867165731,390.64836630184607,408.014859486782,518.1293810608871,435.29637754331736,751.619194260268,380.39103814831236,573.0149765293318,658.8311307752439,231.15238869740648,473.96056451584974,449.46167064459564,491.6061305052821,575.6722805247185,492.4140756845402,350.77356435567583,531.0034983368004,457.97373093811836
14,473.3546357114793,718.0016565982028,414.7720530460587,327.5122163494525,272.7504546408624,452.1713349404548,485.16645984001525,418.3127371513706,577.3506720892435,418.0102411570665,627.0524339304288,445.47398124125687,514.817971066049,643.3472885326393,507.18433974638685,589.8183323087299,452.3791776021319,767.8421445389571,668.1809212847664,427.96248792870017,470.5719138375961,487.6434923248694,336.45408328214097,388.4190416660604,569.8759390518725,426.27609203069323,457.22876595941415,647.6249196250818,540.8805369365932,422.54232019939167
15,530.0873410957764,503.12976467648053,689.1319879879427,581.2868800533925,524.6264580315157,359.0942450130398,547.5902759211331,493.18890822190104,308.26835006757324,512.7032158532633,706.1017308069556,386.85211567910176,507.9894519228693,573.1943723884906,310.9473052010724,457.4392691698083,474.0305519440717,586.9170508739812,633.0499779186789,536.6238660766536,570.741879611561,509.3835677376251,573.0442258427823,508.7499158310161,551.5113237922551,551.4242657110908,590.5088805635671,418.8826790559803,278.6692827960545,418.3163770649397
16,439.30003136723144,448.8670198727271,423.6051143992387,425.7917948608347,409.5418245788484,507.0356803393948,559.7502878653495,601.8686402471661,530.383522256322,538.1897787294633,601.8434767574663,408.3919765009598,589.5749578783968,434.81191791465545,451.759150422803,600.3658042087553,356.5842648064533,579.4097747621806,436.0499042001802,656.1654834906259,494.74867861801494,419.95201642666785,651.6592734050499,521.1322399334724,463.3323178596895,679.9128660863358,430.5095550184593,492.98551333100704,366.9054915096137,473.868464426649
17,698.6805677762544,205.4846999957557,381.46532122982666,602.6076564155393,361.3262807991012,552.6343916968383,505.71281425628644,581.2862491879267,474.47427378581233,478.3236443856638,470.7687841629582,451.9531898919225,420.1728078942572,454.6059726610729,323.8947763772499,429.12124428246636,626.1986939703838,432.05634286738933,431.6051757231578,559.7901902465028,441.8783313911865,437.12086219908,419.6145838344364,325.1087396272372,683.8180117428129,517.0198108698969,486.89958616882444,496.61941808732286,447.5123319528367,611.0123365413522
18,461.81888055345667,516.6676430973316,503.90136412215054,662.7495249940672,568.9669182633072,496.5602019055932,293.81716755437265,578.7929709879617,343.84559206982124,463.778370568734,561.9954847286164,485.9908698100067,395.0342693436163,596.9494759103832,400.2729393283488,458.93409815314806,519.9207157574199,503.7180984276413,469.58715341254566,475.5022052329571,423.2369549283391,439.8526539984487,569.6004919938634,511.2483930999755,674.9102502991319,425.9857505815436,507.3655040472572,451.8849125921697,389.8828801222366,441.232510630121
19,496.69934937866515,462.74546142877955,478.72133594824317,498.90564491033984,499.1516340658233,491.9644942818894,663.9292585040032,482.43341720989184,562.5965153273373,444.2575733645201,433.8333882026371,497.30795496525286,635.1669959817708,391.46109244314664,669.0321107643613,471.8920642305655,410.0386481215094,469.44599934423326,491.21798374356644,519.0287232649481,589.298164407454,466.89359358687665,546.3880857338493,496.20537351944324,483.5038824858628,514.0650967827047,442.380039780436,396.3005703796702,444.52698603502233,431.8713916244366
20,563.9498584022041,523.748155823146,671.0142013966998,484.50011927868206,714.1354654601182,558.8316818317525,502.14766065682346,630.364903699574,738.1542971416933,476.0761367548346,381.4997340937236,510.90726883908275,525.8268503134518,646.8036128081918,455.4269858503369,616.6652155320215,502.83181448189174,493.89907915136087,619.7813679297967,455.15622762315957,537.4906196819053,461.943915220723,706.6537362079106,544.7189499159105,688.3309061465501,527.7512822017071,537.6136279474861,575.5608747469979,638.9784881564838,452.6244435745799
