iteration,total_runs,obs_realization,par_realization,hmuni,hdeep,hshallow,v_lens,zert,zmuni,l_zmuni_pct,zwells,ztdem
0,178,134,134,203.32,52.8997,1225.8,0,2581.54,0,0,1094.47,4002.36
0,178,135,135,560.868,247.914,2286.3,0,8994.64,0,0,12710.1,10501.4
0,178,136,136,1437.4,258.302,7531.77,0,14648.7,0,0,7790.36,16051.5
0,178,137,137,195.911,20.4832,481.912,0,3889.59,0,0,2631.01,4388.72
0,178,139,139,110.045,40.4768,79.7095,0,1936.94,0,0,306.596,1692.66
0,178,140,140,344.87,150.008,3474.73,0,19800.4,0,0,19774.7,23214.7
0,178,141,141,458.29,200.011,701.543,0,13431.1,0,0,14009.5,16914.5
0,178,142,142,2127.74,1460.79,13152.3,0,63293.3,0,0,57599.4,70070.7
0,178,143,143,163.798,68.7241,177.78,0,1463.97,0,0,850.553,1979.32
0,178,145,145,193.485,60.4264,121.526,0,1791.2,0,0,1152.09,1074.61
0,178,146,146,169.705,89.027,31.9592,0,1956.83,0,0,288.217,1192.23
0,178,147,147,293.94,48.6232,1016.9,0,5367.65,0,0,6709.2,6096.23
0,178,148,148,97.1415,24.6781,45.2043,0,2954.54,0,0,3596.6,3552.15
0,178,149,149,102.955,41.3288,24.8718,0,3483.74,0,0,5626.21,6510.89
0,178,150,150,894.104,335.91,5349.89,0,18531.8,0,0,17949.7,21093.1
0,178,151,151,231.148,124.407,367.266,0,3442.72,0,0,333.19,3145.18
0,178,152,152,1516.59,1124,11011.1,0,29865.9,0,0,30680.1,34695.3
0,178,153,153,859.464,61.2067,2034.64,0,10081.7,0,0,5195.81,14734.9
0,178,154,154,225.96,96.5644,465.693,0,1512.41,0,0,1016.98,3624.9
0,178,155,155,1703.84,329.06,8764.04,0,11369.8,0,0,4754.52,12566
0,178,156,156,339.706,92.8304,376.355,0,2075.59,0,0,395.021,1899.1
0,178,157,157,314.076,31.5755,1816.73,0,4092.45,0,0,2519.46,5595.29
0,178,158,158,2260.71,1305.5,15390.9,0,65448.9,0,0,48802.8,64550.9
0,178,159,159,134.64,18.7397,928.715,0,3780.83,0,0,4261.83,4236.53
0,178,162,162,8448.29,6012.27,27714.4,0,133362,0,0,134032,143838
0,178,164,164,2408.81,482.353,9724.96,0,77047.7,0,0,51479.9,78339.2
0,178,165,165,252.366,35.161,946.017,0,7385.66,0,0,3658.46,8739.28
0,178,166,166,220.934,159.452,1213.08,0,14410.3,0,0,14471.2,14108.1
0,178,167,167,684.149,116.723,2140.88,0,11315,0,0,7365.56,13990.9
0,178,168,168,13639.1,8365.93,53488.3,0,184642,0,0,152942,195321
0,178,169,169,324.584,162.044,218.403,0,4590.09,0,0,15581.8,6388.33
0,178,170,170,616.834,314.621,2492.01,0,15986.7,0,0,17897.6,21404.1
0,178,171,171,292.382,164.702,322.657,0,6514.59,0,0,12203.4,7918.62
0,178,172,172,797.19,67.4693,2371.34,0,7975.67,0,0,3271.55,8102.81
0,178,173,173,188.105,110.127,1452.33,0,5029.22,0,0,8111.47,6902.95
0,178,174,174,204.726,161.959,137.789,0,4518.41,0,0,8819.7,9830.86
0,178,175,175,229.658,106.953,29.7944,0,2613.19,0,0,439.028,2014.61
