child,parent_1,parent_2,parent_3
GEN=3_MEMBER=81_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=24_DE,GEN=1_MEMBER=14_DE,GEN=0_MEMBER=12
GEN=3_MEMBER=82_DE,GEN=2_MEMBER=42_DE,GEN=1_MEMBER=10_DE,GEN=1_MEMBER=29_DE,GEN=0_MEMBER=8
GEN=3_MEMBER=83_DE,GEN=2_MEMBER=42_DE,GEN=2_MEMBER=36_DE,GEN=1_MEMBER=4_DE,GEN=1_MEMBER=14_DE
GEN=3_MEMBER=84_DE,GEN=2_MEMBER=36_DE,GEN=1_MEMBER=24_DE,GEN=2_MEMBER=35_DE,GEN=0_MEMBER=9
GEN=3_MEMBER=85_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=4_DE,GEN=2_MEMBER=33_DE,GEN=0_MEMBER=16
GEN=3_MEMBER=86_DE,GEN=1_MEMBER=27_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=15,GEN=2_MEMBER=35_DE
GEN=3_MEMBER=87_DE,GEN=2_MEMBER=42_DE,GEN=2_MEMBER=36_DE,GEN=1_MEMBER=4_DE,GEN=1_MEMBER=14_DE
GEN=3_MEMBER=88_DE,GEN=2_MEMBER=42_DE,GEN=2_MEMBER=36_DE,GEN=2_MEMBER=38_DE,GEN=0_MEMBER=18
GEN=3_MEMBER=89_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=24_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=8
GEN=4_MEMBER=90_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=4_DE,GEN=3_MEMBER=76_DE,GEN=1_MEMBER=14_DE
GEN=4_MEMBER=91_DE,GEN=1_MEMBER=27_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=24_DE,GEN=1_MEMBER=10_DE
GEN=4_MEMBER=92_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=27_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=2
GEN=4_MEMBER=93_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=27_DE,GEN=3_MEMBER=76_DE,GEN=2_MEMBER=35_DE
GEN=4_MEMBER=94_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=23_DE,GEN=2_MEMBER=33_DE
GEN=4_MEMBER=95_DE,GEN=2_MEMBER=36_DE,GEN=3_MEMBER=78_DE,GEN=2_MEMBER=38_DE,GEN=2_MEMBER=55_DE
